,interest_id,name
1,2,_comms_technology
2,3,_comms_security
3,4,_comms_information
4,5,_comms_knowledge
5,6,_comms_infrastructure
6,7,_humans_wellbeing
7,8,_humans_recruit
8,9,_humans_retain
9,12,_humans_beta
10,13,_humans_payroll
11,14,_humans_benefits
12,15,_humans_gatherings
13,16,_hype_events
14,17,_hype_materials
15,18,_hype_socialmedia
16,19,_hype_speaking
17,20,_hype_campaigns
18,21,_hype_articles
19,22,_hype_branding
20,23,_leads_prospect
21,24,_leads_proposals
22,25,_connect_media
23,26,_connect_academia
24,27,_connect_partners
25,28,_connect_researchers
26,29,_x_navigation
27,30,_x_frontend
28,31,_x_softwareengineering
29,32,_x_optimisation
30,33,_x_datascience
31,34,_x_geospatial
32,35,_x_design
33,36,_vision_architecture
34,37,_vision_finance
35,38,_vision_legal
36,39,_vision_purpose
37,40,_vision_investment
38,41,_vision_strategy
39,42,_humans_inclusive
40,43,_x_research
41,44,_humans_workspace
42,45,_humans_development
